method,k,sim_threshold,consensus_frac,mean_edge_f1,std_edge_f1
left_kan,5,0.15,0.6,0.0,0.0
right_kan,5,0.15,0.6,0.0,0.0
left_kan,5,0.25,0.6,0.0,0.0
right_kan,5,0.25,0.6,0.0,0.0
left_kan,5,0.35,0.6,0.0,0.0
right_kan,5,0.35,0.6,0.0,0.0
left_kan,10,0.15,0.6,0.0,0.0
right_kan,10,0.15,0.6,0.0,0.0
left_kan,10,0.25,0.6,0.0,0.0
right_kan,10,0.25,0.6,0.0,0.0
left_kan,10,0.35,0.6,0.0,0.0
right_kan,10,0.35,0.6,0.0,0.0
left_kan,15,0.15,0.6,0.0,0.0
right_kan,15,0.15,0.6,0.0,0.0
left_kan,15,0.25,0.6,0.0,0.0
right_kan,15,0.25,0.6,0.0,0.0
left_kan,15,0.35,0.6,0.0,0.0
right_kan,15,0.35,0.6,0.0,0.0
right_kan,10,0.25,0.4,0.0,0.0
right_kan,10,0.25,0.6,0.0,0.0
right_kan,10,0.25,0.8,0.0,0.0
